Age,Income ,Spending_Score ,Work_Experience,Family_Size,Gender
23,12000,29,9,2,Female
31,46000,77,1,2,Female
43,89000,35,0,7,Male
40,4000,95,0,2,Male
59,38000,11,0,2,Male
38,64000,75,8,5,Male
47,66000,9,9,5,Male
39,26000,75,0,2,Male
25,41000,34,6,4,Female
31,45000,71,5,1,Female
20,89000,5,1,2,Male
29,92000,88,5,5,Female
44,76000,7,5,2,Female
32,85000,73,3,4,Male
19,22000,10,8,4,Male
35,15000,72,4,4,Female
57,32000,5,0,2,Female
32,66000,93,0,5,Male
28,62000,40,5,3,Female
32,85000,87,1,2,Female
25,71000,12,0,5,Male
28,26000,97,8,5,Male
48,52000,36,9,2,Male
32,38000,74,1,1,Female
34,51000,22,7,4,Female
34,90000,90,6,3,Male
43,30000,17,0,9,Male
39,41000,88,0,1,Male
44,17000,20,0,2,Female
38,92000,76,2,2,Female
47,80000,16,0,4,Female
27,10000,89,8,4,Female
37,16000,1,1,1,Male
30,87000,78,3,4,Female
34,66000,1,1,2,Male
30,86000,73,3,3,Female
56,9000,35,1,1,Female
29,50000,83,1,5,Female
19,35000,5,0,5,Male
31,58000,93,1,5,Female
50,47000,26,0,2,Male
36,54000,75,5,3,Female
42,79000,20,9,3,Male
33,83000,95,0,5,Female
36,57000,27,0,3,Female
32,0,63,2,2,Male
40,69000,13,3,5,Male
28,4000,75,0,2,Male
36,79000,10,0,2,Male
36,99000,92,5,2,Male
52,20000,13,0,2,Female
30,28000,86,3,4,Female
58,29000,15,11,1,Male
27,45000,69,2,6,Male
59,86000,14,4,3,Male
35,42000,90,8,1,Male
37,59000,32,7,2,Female
32,61000,86,7,5,Female
46,11000,15,7,1,Male
29,66000,88,4,4,Female
41,39000,39,1,1,Female
30,72000,97,6,2,Male
54,14000,24,1,2,Female
28,44000,68,5,3,Male
41,76000,17,8,2,Female
36,95000,85,4,2,Female
34,92000,23,5,3,Female
32,98000,69,8,2,Female
33,96000,8,9,2,Male
38,45000,91,10,4,Female
47,8000,16,7,2,Female
35,46000,79,1,3,Female
45,78000,28,0,2,Female
32,4000,74,1,5,Male
32,81000,18,1,2,Male
30,33000,83,4,2,Male
21,40000,10,0,3,Female
34,85000,16,9,3,Male
16,60000,0,6,8,Female
76,60000,39,4,2,Female
62,63000,59,0,2,Female
63,10000,52,8,3,Female
19,55000,61,0,3,Female
46,93000,12,2,1,Male
48,15000,7,0,2,Female
80,39000,33,9,4,Female
1,57000,93,1,2,Female
0,22000,92,2,1,Female
86,12000,70,2,4,Male
49,50000,82,8,1,Male
48,95000,68,2,4,Male
46,66000,70,3,3,Female
79,20000,40,6,2,Male
83,35000,99,8,2,Female
66,71000,34,9,2,Female
59,76000,61,9,1,Female
39,84000,33,5,3,Female
95,72000,51,4,2,Female
43,33000,55,4,3,Male
93,93000,37,1,5,Female
40,83000,48,4,1,Female
78,23000,8,1,1,Female
25,40000,77,5,4,Female
76,89000,86,9,4,Male
0,33000,64,1,1,Male
15,94000,30,7,2,Male
6,93000,53,8,2,Female
84,7000,28,0,4,Male
67,18000,88,0,2,Female
78,3000,14,0,4,Female
4,84000,54,9,1,Female
29,62000,34,0,4,Female
91,9000,96,1,5,Male
95,36000,35,0,4,Male
55,37000,74,1,4,Male
14,50000,11,1,2,Female
92,83000,16,1,5,Male
65,79000,17,0,3,Female
84,40000,14,1,4,Female
77,47000,58,0,6,Female
53,4000,20,0,4,Female
28,38000,75,7,2,Female
23,0,96,1,3,Male
32,7000,16,1,2,Female
37,41000,2,1,2,Female
89,65000,0,0,5,Female
80,20000,93,1,3,Male
27,44000,65,8,1,Female
78,3000,14,5,4,Female
86,72000,13,7,3,Female
46,27000,32,4,4,Female
59,85000,49,4,2,Male
12,38000,18,10,1,Male
79,73000,96,6,7,Male
79,64000,64,2,3,Female
26,26000,60,6,4,Male
63,47000,16,2,3,Female
52,35000,85,2,6,Female
32,31000,24,2,3,Female
64,13000,38,3,4,Female
37,79000,10,1,7,Female
7,82000,39,2,2,Male
40,28000,68,1,1,Female
78,36000,79,0,3,Female
34,8000,76,6,6,Female
52,88000,39,1,2,Female
94,91000,36,0,4,Male
1,12000,82,0,3,Female
96,1000,76,0,3,Female
18,143000,99,0,2,Female
37,18000,57,1,2,Female
78,65000,89,1,2,Male
16,9000,88,7,4,Male
93,95000,21,1,1,Male
74,78000,12,9,3,Female
68,48000,73,3,3,Male
32,63000,87,1,4,Female
43,85000,63,1,2,Female
52,43000,58,1,3,Female
63,74000,20,1,2,Female
33,67000,11,0,1,Female
86,59000,40,0,1,Male
85,140000,84,1,1,Female
73,31000,47,1,2,Female
21,5000,91,0,1,Female
93,19000,58,1,3,Female
9,27000,62,7,1,Male
10,68000,80,6,3,Female
11,38000,66,8,8,Male
48,50000,36,6,4,Female
73,80000,73,2,2,Female
66,69000,43,9,3,Female
79,31000,91,3,3,Female
62,87000,41,6,2,Male
17,79000,16,1,3,Male
32,32000,86,5,2,Male
85,153787,100,3,3,Male
31,95851,16,5,2,Male
31,145015,73,6,3,Female
38,148539,7,5,2,Female
90,117319,21,1,2,Female
65,180243,26,6,2,Female
63,165052,12,4,2,Female
61,120487,14,0,2,Female
26,112766,83,8,4,Male
17,156488,65,1,4,Female
56,97562,15,5,6,Male
12,77501,30,5,4,Female
24,118302,100,5,1,Female
13,64277,9,9,4,Female
12,53927,77,2,3,Male
72,93921,93,9,2,Male
54,132046,8,4,4,Female
45,183217,91,7,2,Male
66,182937,44,8,1,Male
27,68272,56,8,4,Female
36,69841,21,10,2,Male
5,69078,60,13,1,Male
89,110667,100,2,4,Female
13,95469,94,6,1,Male
91,102861,40,4,1,Female
16,133551,7,3,1,Male
63,64589,90,7,1,Female
52,152755,39,4,2,Male
37,92313,58,1,5,Female
78,98922,2,2,3,Female
24,165846,33,0,4,Male
4,93713,62,3,4,Female
84,137641,67,0,5,Male
0,173743,96,0,4,Male
67,116126,58,10,2,Female
32,112246,30,8,3,Female
39,69384,75,1,5,Female
68,76529,62,0,2,Female
7,123804,28,14,1,Female
76,68292,55,8,2,Female
84,173185,99,3,1,Female
75,142034,82,1,4,Male
22,107941,61,0,1,Male
90,149840,61,1,1,Female
4,148431,99,1,8,Female
78,126599,84,0,3,Female
58,57180,22,9,1,Female
99,184426,41,9,1,Female
24,151085,39,2,5,Female
88,166107,98,13,4,Female
92,67850,91,9,4,Female
99,173394,4,13,1,Male
51,72303,98,7,1,Female
23,181760,35,14,3,Male
13,146858,75,9,1,Female
22,172923,20,6,1,Male
89,115811,87,11,4,Female
20,184324,51,13,5,Male
72,67353,19,9,3,Female
17,165999,71,9,3,Male
90,164914,18,8,3,Male
99,63364,61,1,2,Male
39,182352,73,4,3,Female
37,148544,56,1,2,Female
46,62833,85,1,2,Male
65,120627,72,0,2,Male
60,130898,30,1,1,Female
93,103130,74,12,3,Female
72,106681,15,9,5,Male
36,87353,25,1,5,Female
52,88046,61,8,1,Male
72,98168,49,1,2,Female
28,178265,5,2,1,Female
48,167232,92,6,4,Female
85,140478,43,6,4,Male
22,159296,83,8,1,Male
30,144043,78,1,1,Female
46,72594,64,1,2,Male
82,180288,77,2,2,Female
73,165734,51,0,1,Female
8,175407,2,5,1,Male
90,70201,8,0,2,Male
34,91503,26,0,6,Male
10,184522,43,0,2,Female
79,143560,83,1,3,Female
83,131574,97,1,2,Male
20,151124,18,15,3,Female
25,67447,5,15,2,Female
26,117454,8,16,2,Female
18,86203,23,13,1,Female
7,136231,10,7,1,Female
1,89144,1,12,2,Male
21,119116,30,17,4,Male
86,163463,31,9,4,Female
75,151696,82,15,1,Female
78,184736,52,13,1,Male
87,70419,69,6,4,Female
8,119104,41,14,3,Female
59,130950,28,5,3,Male
13,140950,77,15,2,Male
55,82285,35,16,1,Female
50,91389,92,11,7,Female
54,186359,95,13,2,Male
13,178989,46,14,3,Male
79,166335,45,5,5,Male
65,119889,11,17,6,Female
51,66852,73,15,3,Female
18,103896,36,16,4,Male
21,187761,87,2,3,Male
37,102717,93,7,4,Male
83,102647,83,0,2,Male
96,113585,31,0,4,Female
65,86509,88,0,4,Female
80,59099,44,1,7,Male
75,135088,5,1,5,Female
87,110870,78,1,4,Female
86,187667,12,0,1,Female
36,124614,25,8,5,Female
78,166492,40,9,7,Female
62,172758,69,1,2,Female
89,122430,19,1,1,Male
56,183540,96,0,6,Female
35,96484,34,5,4,Female
33,112587,71,1,4,Male
58,155672,71,7,7,Female
68,72847,93,1,2,Female
38,71897,32,2,3,Male
31,158479,57,1,5,Male
90,89251,4,1,1,Male
28,179911,24,1,1,Male
1,111558,85,7,4,Male
78,127615,78,10,7,Male
23,50076,32,3,5,Female
25,77779,62,4,1,Female
59,169999,38,5,5,Male
7,106581,76,1,7,Female
24,78223,41,0,1,Female
76,136259,14,0,7,Male
37,153399,93,1,6,Male
6,162858,91,0,1,Female
0,57373,29,0,7,Female
3,133602,47,1,1,Male
95,66322,88,0,3,Female
0,68761,16,1,4,Female
7,70749,86,13,3,Male
54,65874,87,7,6,Male
89,115996,24,15,1,Male
58,67097,91,6,1,Female
12,108027,64,13,5,Female
7,176349,80,8,2,Male
11,88452,40,8,6,Male
74,128266,55,7,4,Male
64,156777,20,7,2,Female
48,123234,50,10,7,Female
8,60790,38,1,5,Female
15,181332,99,14,6,Female
1,187297,7,0,1,Male
21,153885,86,6,6,Female
84,53500,44,3,4,Male
5,69443,28,4,6,Female
47,124072,56,0,7,Female
96,135800,29,0,7,Female
93,120597,96,2,4,Male
16,91358,11,1,4,Female
56,53231,41,0,5,Male
76,156330,31,1,2,Female
0,186002,80,15,2,Male
70,111760,53,12,5,Female
47,143906,12,4,3,Female
13,182410,22,11,4,Male
86,98463,46,10,5,Male
91,93762,28,15,7,Male
97,104582,50,8,2,Male
20,130813,92,17,5,Male
11,59202,92,5,4,Female
28,79968,45,9,2,Female
32,104824,42,0,7,Male
82,188719,30,0,6,Male
39,187536,66,3,6,Male
7,134008,85,2,1,Male
13,176397,71,6,3,Female
34,154888,43,9,6,Female
76,155622,81,0,2,Male
30,62330,60,1,1,Female
69,112838,34,1,7,Female
22,58283,59,2,4,Male
60,77857,81,1,6,Female
66,125024,25,0,1,Male
57,136242,34,9,1,Female
60,81934,81,1,4,Female
59,130511,97,3,4,Female
54,144502,88,3,1,Female
90,63769,6,4,2,Male
14,66760,20,0,4,Female
34,135115,54,1,7,Female
85,179877,17,12,4,Female
83,93351,65,1,1,Female
12,84547,96,3,3,Male
95,121725,3,12,3,Male
41,65723,91,6,7,Male
38,96794,96,6,3,Female
68,72352,61,8,5,Male
4,53097,21,0,7,Female
5,144831,17,1,3,Female
3,183851,10,1,2,Female
20,111896,90,1,3,Female
3,64824,30,1,1,Female
36,88565,16,1,5,Male
70,104974,63,1,1,Female
17,167060,47,1,5,Female
31,69018,17,6,1,Female
48,174109,96,0,1,Female
28,62186,29,0,1,Male
97,183783,70,9,3,Male
81,83771,1,1,2,Male
37,148196,91,0,2,Female
85,131742,87,1,1,Male
78,59971,94,14,7,Female
13,88960,2,13,3,Female
53,140107,38,1,5,Female
41,161896,49,1,3,Female
9,57272,60,1,1,Female
20,119952,2,8,2,Male
98,167197,63,1,5,Female
44,186116,2,8,6,Female
66,134677,59,15,5,Female
58,180479,74,0,3,Female
97,112783,21,9,6,Male
13,150258,17,0,3,Male
48,115832,92,2,2,Male
47,104834,44,0,7,Female
93,152571,66,14,5,Male
11,162287,45,3,2,Female
68,171761,59,1,6,Female
87,77709,73,0,1,Female
22,95053,17,1,2,Female
89,74820,33,1,2,Male
57,152267,92,9,5,Male
91,71925,14,4,2,Male
84,151340,95,1,7,Female
56,162921,51,0,4,Male
26,52234,30,1,2,Female
56,100271,87,1,5,Female
6,170266,23,3,2,Female
33,88763,1,1,1,Female
89,107359,26,10,6,Female
99,164781,83,0,2,Male
25,156016,85,2,1,Female
96,186882,40,1,7,Female
35,99300,88,5,2,Female
16,58127,65,0,3,Male
81,89211,12,1,7,Female
7,148607,59,1,7,Female
31,139592,62,1,1,Female
16,172051,62,1,3,Female
89,57033,99,0,4,Male
84,117612,63,0,6,Male
40,185321,96,0,7,Male
17,186577,5,8,5,Female
0,151298,89,0,6,Male
69,123925,52,1,7,Female
17,169496,12,11,6,Female
0,142892,25,8,1,Female
34,58979,3,9,5,Female
51,141416,100,15,1,Female
54,104854,67,1,7,Male
19,180331,14,17,5,Female
99,172896,13,0,3,Female
2,101451,82,4,3,Female
91,189974,37,8,1,Female
65,90084,65,1,6,Male
47,112247,24,4,5,Female
91,181775,61,4,5,Female
64,59088,31,1,3,Female
91,60856,23,1,6,Female
32,149900,34,6,3,Male
15,142776,98,8,5,Male
22,162598,84,8,3,Male
37,146195,89,4,4,Female
83,135268,53,4,5,Male
89,136037,1,5,1,Female
33,111191,67,9,4,Female
13,144111,62,12,5,Female
71,177359,56,6,2,Female
10,112818,85,15,7,Female
49,53509,98,5,4,Male
9,168269,75,10,2,Female
53,86766,2,16,3,Female
63,52661,25,12,5,Female
46,148520,14,11,5,Female
42,149936,52,15,3,Male
73,102296,31,7,5,Female
75,178416,16,10,7,Male
49,83788,41,15,1,Female
96,184771,77,8,5,Female
52,70302,88,14,3,Female
15,58639,51,5,7,Female
91,97879,40,15,7,Male
22,64707,29,7,3,Male
62,71795,87,8,1,Male
41,76567,85,16,1,Male
61,126370,20,11,4,Male
71,154007,32,7,7,Female
91,69720,78,17,6,Female
94,85265,68,7,6,Female
3,155864,31,13,3,Female
15,99421,72,8,7,Female
96,145457,57,2,1,Female
12,118041,77,9,2,Male
23,73759,83,0,7,Female
94,90082,17,5,7,Male
7,74928,12,0,6,Female
74,101352,36,0,5,Female
52,93947,81,9,2,Female
39,134629,23,1,6,Male
72,101858,70,8,6,Male
55,165501,47,10,4,Female
29,135931,74,5,1,Male
38,103356,20,1,6,Male
44,75195,79,1,3,Female
58,123083,44,6,5,Male
77,73884,30,1,2,Male
56,91180,61,1,7,Female
79,86235,52,0,2,Male
97,96400,4,1,7,Female
78,83599,12,1,6,Male
91,82535,50,0,1,Female
35,92227,8,0,5,Male
43,150444,27,13,4,Female
37,149095,83,1,2,Female
63,113605,42,3,3,Male
16,93854,82,0,7,Female
32,118280,92,0,5,Male
91,94576,90,0,1,Male
33,129257,70,6,3,Female
57,70373,10,2,6,Female
43,77600,66,0,1,Female
26,113707,97,0,5,Female
59,189672,8,0,7,Female
61,143180,58,0,5,Female
59,174890,14,3,4,Female
66,121377,19,7,7,Male
26,154857,13,0,7,Male
67,160945,51,0,5,Female
85,119557,35,0,2,Female
76,187141,33,0,7,Female
57,97468,22,0,1,Female
77,160351,77,8,5,Female
66,178627,94,1,2,Female
49,170188,80,1,6,Female
36,166007,40,1,4,Female
74,91794,83,0,7,Male
16,189072,86,6,3,Female
27,152717,15,1,6,Male
3,158549,98,0,3,Female
31,134263,94,1,3,Male
30,148236,28,1,1,Female
94,171677,81,0,6,Male
31,189446,38,1,6,Female
49,106633,53,0,3,Male
49,81084,48,6,5,Male
53,148759,52,7,7,Male
3,117638,95,2,7,Female
91,159537,37,4,1,Female
26,79526,6,9,7,Male
28,101414,64,8,1,Male
92,109519,72,1,4,Female
59,156880,70,0,7,Female
15,157278,58,0,6,Male
23,144916,84,1,7,Female
54,59163,100,3,3,Male
93,93991,49,1,3,Female
65,58318,45,1,1,Female
13,180786,88,1,5,Female
71,84622,45,0,6,Male
1,92674,59,8,4,Male
57,87553,94,1,1,Female
14,74174,79,1,2,Male
77,180831,33,1,2,Female
89,137397,33,1,7,Female
17,96154,100,1,4,Male
86,172477,69,1,3,Male
42,59954,37,4,4,Male
29,112240,95,0,4,Female
54,145679,35,0,2,Female
96,136265,49,12,5,Male
58,74869,12,0,3,Female
52,109425,46,0,1,Female
3,126015,57,0,1,Female
13,156951,66,4,7,Female
3,127172,68,1,2,Female
89,113834,22,0,3,Male
83,132005,2,0,5,Male
80,171323,78,10,4,Female
74,92355,87,1,4,Female
42,60982,3,0,5,Male
91,51742,33,8,3,Female
31,138612,71,9,2,Female
8,158123,84,1,1,Male
64,164675,65,0,5,Male
41,172882,27,8,7,Female
62,70119,93,0,1,Female
41,113998,26,7,7,Male
22,114011,40,5,7,Male
5,57265,89,7,7,Male
38,130597,2,6,1,Female
88,121597,7,0,5,Female
56,103210,100,6,6,Male
47,66308,8,0,4,Male
4,141336,93,2,1,Male
82,153632,76,9,7,Male
31,65520,71,1,2,Female
69,153217,83,1,6,Female
62,92768,75,1,1,Male
54,132345,10,0,2,Female
60,186069,49,1,2,Female
31,53802,32,1,7,Female
17,103739,62,6,4,Female
15,50550,34,9,7,Female
37,145648,21,7,6,Female
36,85737,37,0,3,Male
27,99950,20,0,4,Female
11,83220,21,7,4,Female
83,73410,50,8,5,Male
71,64310,43,2,1,Female
20,59844,79,0,1,Female
3,67787,1,1,6,Male
52,172841,4,0,1,Male
75,145528,61,1,2,Male
36,173807,42,0,2,Male
60,185794,69,7,1,Male
8,119780,71,1,3,Male
9,158596,86,1,2,Female
41,118122,52,0,6,Female
38,99964,11,7,4,Male
69,120752,27,1,6,Female
33,189630,53,5,5,Female
64,125510,6,3,3,Male
19,101799,49,1,1,Male
88,92914,74,0,3,Female
91,162465,59,9,3,Female
84,163818,27,2,1,Male
43,53832,56,4,1,Female
30,140190,49,1,4,Female
16,125836,69,1,4,Male
89,100938,27,0,7,Male
5,168670,37,1,3,Male
54,176885,10,0,3,Female
41,111174,28,4,5,Female
80,127335,97,6,6,Male
37,149103,3,10,1,Male
87,167705,31,0,7,Male
50,183548,85,1,4,Female
14,50396,46,0,6,Female
17,63557,3,1,1,Female
98,87878,55,1,6,Female
3,55634,53,8,3,Male
83,118110,26,1,5,Female
13,129396,36,6,6,Male
46,62628,64,8,6,Female
25,51700,17,4,6,Female
4,106816,49,7,5,Female
64,93000,67,0,2,Male
84,144148,71,1,4,Female
12,101388,90,0,2,Male
56,171560,78,0,2,Female
58,156366,60,8,1,Male
0,143910,22,1,7,Female
25,106569,84,1,3,Female
28,173009,25,9,6,Male
78,54252,29,0,5,Male
56,104600,57,6,3,Male
91,50250,54,0,2,Male
77,93242,84,0,7,Male
83,156839,38,3,7,Female
64,71305,39,9,2,Female
19,85975,73,0,6,Male
94,188107,52,10,2,Male
19,82333,35,1,2,Male
84,125016,25,1,7,Male
10,148908,10,2,3,Female
19,58217,70,0,1,Female
74,76521,29,7,4,Male
95,117763,42,1,2,Female
34,115184,93,1,4,Female
30,54251,7,2,6,Male
53,112530,24,2,6,Female
67,107409,2,1,6,Male
23,84793,23,9,6,Female
25,66952,79,1,2,Female
84,153465,11,1,4,Female
1,178214,17,1,7,Female
70,152069,42,4,4,Male
56,132860,17,7,2,Female
0,147719,86,1,7,Female
91,172915,29,9,1,Female
81,148594,29,3,5,Female
33,61986,77,0,1,Male
75,91456,13,1,4,Male
11,166247,84,1,2,Male
61,140516,50,0,3,Female
81,148208,36,5,7,Male
62,133822,78,0,4,Female
44,175424,32,4,5,Female
67,121528,92,8,4,Female
30,189369,69,0,3,Female
92,80808,26,1,1,Female
25,57535,84,1,7,Male
61,163509,51,0,4,Female
72,75884,57,0,7,Female
89,157759,52,1,6,Female
37,184813,44,0,2,Female
59,187253,51,8,7,Male
41,81718,36,1,3,Male
60,150019,37,1,2,Male
81,53452,73,1,6,Female
85,150765,42,8,2,Male
91,154456,71,0,7,Female
65,56647,12,6,4,Female
19,117477,48,6,7,Female
78,79677,9,10,7,Female
0,116759,28,7,3,Female
26,180702,21,6,1,Male
2,122698,100,8,1,Female
60,169346,55,7,2,Female
67,93176,25,4,1,Female
4,75853,40,4,5,Female
7,119362,58,8,1,Male
28,81545,36,4,7,Male
67,67372,75,0,7,Male
30,109703,61,1,1,Female
38,166697,39,13,4,Male
40,124982,34,1,7,Female
6,146776,83,1,7,Female
3,147548,45,4,5,Female
51,117620,60,7,6,Female
63,85351,57,0,2,Male
65,174432,8,0,7,Male
44,70787,68,1,3,Male
90,75473,63,0,7,Female
76,90082,49,1,6,Male
62,185388,54,0,2,Female
5,168110,69,14,6,Female
67,184628,38,12,2,Female
38,176551,45,8,1,Female
31,76422,21,9,7,Female
2,164248,51,9,3,Male
82,109188,38,5,7,Female
66,132951,26,4,1,Female
75,164598,32,8,1,Female
69,186655,32,7,2,Male
62,111859,86,6,1,Female
0,121926,41,7,1,Female
11,143047,42,1,3,Female
22,131748,23,1,3,Female
76,142801,23,0,1,Male
85,142723,46,0,6,Male
21,155151,16,14,3,Male
64,153607,48,1,4,Female
94,144192,34,0,3,Male
83,174159,22,4,4,Female
93,73642,50,0,3,Female
12,170319,46,8,7,Female
0,141351,10,0,2,Female
79,167411,9,12,5,Female
90,58289,49,5,6,Male
45,79801,77,0,2,Female
82,146118,52,8,7,Female
57,57337,14,1,4,Female
43,113575,6,1,2,Female
63,122658,65,6,2,Male
62,151836,13,0,6,Female
43,185900,80,9,4,Female
34,94029,98,1,4,Female
30,157290,22,2,2,Female
97,175996,42,10,4,Male
68,102016,37,0,4,Male
16,77902,67,1,2,Male
15,81138,86,9,7,Female
25,128258,48,0,2,Male
29,62475,24,6,4,Female
85,82854,75,6,4,Female
30,59284,38,7,7,Female
13,141580,92,0,4,Female
88,171362,90,6,4,Female
5,78274,65,9,2,Male
95,76646,61,0,1,Female
92,78308,66,5,2,Female
63,78971,89,1,2,Female
75,65528,73,1,5,Female
67,94199,71,5,7,Male
58,135705,48,8,7,Female
52,130573,31,8,3,Male
85,152303,68,1,5,Female
31,144582,89,1,1,Female
84,93288,60,10,6,Female
93,88192,3,10,2,Female
18,62362,81,7,3,Male
73,74350,39,10,1,Male
3,144103,42,8,7,Male
1,75518,17,7,3,Male
53,160980,62,4,2,Male
75,102904,28,7,6,Female
15,174501,37,9,7,Female
47,157661,57,6,6,Female
66,118385,8,10,3,Female
17,116463,100,8,4,Female
1,161212,14,9,6,Female
16,172601,50,4,6,Male
52,167214,94,8,7,Female
21,69644,19,5,1,Male
19,120215,46,7,2,Female
29,180401,23,7,6,Female
40,113739,93,5,7,Female
76,111717,41,1,2,Male
91,62808,20,0,4,Male
24,67582,13,1,3,Female
4,96543,60,9,1,Male
90,89667,69,0,2,Male
56,98980,65,0,1,Female
14,124998,17,1,3,Male
52,189091,12,0,6,Male
14,153842,3,1,3,Female
30,106314,16,0,7,Male
70,62901,60,8,5,Female
14,149618,78,4,6,Male
95,72068,97,0,6,Female
25,81367,87,0,3,Male
95,118575,10,1,3,Female
12,82382,97,1,3,Female
82,114776,55,10,3,Male
2,145597,81,1,6,Female
51,162072,86,1,1,Male
63,172872,11,0,7,Male
30,182162,6,1,3,Female
68,71467,81,5,7,Female
21,85568,1,0,6,Female
99,56851,72,6,3,Female
0,116782,73,9,5,Female
80,67781,1,4,4,Female
51,70152,29,0,2,Female
18,185861,82,3,6,Male
43,162595,17,3,3,Male
29,80098,54,10,6,Female
20,184801,8,1,1,Female
39,58908,37,6,6,Female
9,146011,69,9,5,Female
45,135174,39,9,4,Female
65,114244,64,0,1,Female
64,157207,52,0,4,Female
81,128834,23,5,4,Female
54,51166,24,0,7,Male
32,130118,36,0,4,Female
29,87014,71,11,4,Male
25,111379,93,0,2,Female
5,83704,82,1,1,Male
55,90558,49,8,2,Female
12,187343,14,6,3,Male
81,111174,48,9,6,Female
87,64461,63,4,4,Male
12,109618,97,7,3,Male
91,189357,4,7,1,Male
63,120955,79,6,1,Female
97,168898,54,8,7,Female
89,130431,52,6,3,Male
59,161091,56,9,1,Male
26,69988,2,5,4,Female
5,169702,98,5,1,Female
32,186897,49,1,7,Male
98,109061,41,6,1,Female
31,188620,30,3,6,Male
59,108675,57,4,5,Female
80,177601,34,0,2,Female
12,87365,3,1,2,Female
80,95929,23,0,2,Male
59,97185,87,0,5,Male
56,103838,17,1,2,Female
18,129260,11,1,3,Male
66,151184,19,1,4,Female
67,177512,62,2,3,Female
39,140099,51,0,7,Male
23,67535,97,7,6,Male
47,133236,61,1,6,Male
41,87975,5,9,7,Female
40,164350,23,0,5,Female
36,55109,53,8,3,Male
12,67613,40,1,2,Female
60,185306,47,0,2,Female
24,154787,84,3,5,Female
17,109759,96,9,3,Female
92,114571,51,1,3,Female
32,130697,93,1,2,Male
39,115916,24,13,6,Male
50,69814,53,9,2,Female
85,118161,74,0,4,Female
